Pay Grade/Step,Annual Salary,Class #,Title,Current Dept Description,Employment Status,EEO Job Cat,EEO Job Cat Desc,Gender,Ethnic Code,Ethnic Code Description,Year of Birth,Date Started,FLSA Exempt Y/N
SP0100,"9,822.27",03445,School Crossing Guard,Police,Part Time,004,Protective Service Workers,F,01,White (Not of Hispanic Origin),1956,11/7/12,N
PD0100,"57,250.89",10171,Asst Pub Defender,Public Defender,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1980,12/3/12,Y
NS,"8,869.54",07243,Admin Svcs Officer 2,Sheriff,Part Time,002,Professionals,M,01,White (Not of Hispanic Origin),1954,11/26/12,N
SR1000,"49,745.07",10151,Finance Officer 2,Finance,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1976,12/3/12,Y
HD0300,"51,298.75",10758,Public Health Nurse 1,Health,Full Time,002,Professionals,F,02,Black,1968,12/1/12,N
SR0801,"36,853.92",06539,Stores Supv,Fire,Full Time,006,Administrative Support,M,01,White (Not of Hispanic Origin),1972,12/1/12,N
SR0702,"16,453.63",06880,Recreation Leader,Parks,Part Time,005,Para-Professional,M,02,Black,1984,11/30/12,N
SR0704,"17,511.94",06880,Recreation Leader,Parks,Part Time,005,Para-Professional,F,01,White (Not of Hispanic Origin),1963,11/30/12,N
SR0901,"40,817.54",06034,Program Coord,Public Library,Full Time,002,Professionals,F,02,Black,1974,10/25/15,Y
SR1300,"77,604.27",07242,Admin Svcs Mgr,Public Defender,Full Time,001,Officials and Administrators,F,01,White (Not of Hispanic Origin),1960,12/17/12,Y
SR0701,"33,165.69",07711,Sheriff Prisoner Processor 1,Sheriff,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1983,12/16/12,N
SR0703,"35,377.54",07365,Police Operations Coord 1,Police,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1986,12/16/12,N
SR0804,"40,538.87",07784,Info Systems App Tech 1,Public Library,Full Time,003,Technicians,F,01,White (Not of Hispanic Origin),1974,12/17/12,N
TG0802,"35,797.73",07303,Equip Operator 3,Public Works,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1988,12/10/12,N
TG0502,"30,372.42",06826,Equip Operator 1,Public Works,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1987,12/10/12,N
SR0600,"31,987.22",10122,Office Support Rep 3,Health,Full Time,006,Administrative Support,F,03,Hispanic,1975,12/17/12,N
HD1100,"142,119.93",07424,Medical Doctor,Health,Full Time,002,Professionals,F,02,Black,1975,12/17/12,Y
PS0403,"49,075.90",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1981,1/1/13,N
PS0403,"52,020.45",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1983,1/1/13,N
PS0403,"49,075.90",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,F,03,Hispanic,1986,1/1/13,N
PS0403,"49,075.90",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,03,Hispanic,1989,1/1/13,N
PS0403,"49,075.90",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1986,1/1/13,N
PS0403,"52,020.45",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,1/1/13,N
PS0403,"52,020.45",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1981,1/1/13,N
PS0403,"49,075.90",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,1/1/13,N
PS0403,"49,075.90",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,02,Black,1980,1/1/13,N
PS0403,"49,075.90",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1986,1/1/13,N
PS0403,"49,075.90",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,1/1/13,N
PS0403,"52,020.45",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1988,1/1/13,N
PS0403,"50,548.18",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1988,1/1/13,N
PS0403,"49,075.90",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,03,Hispanic,1986,1/1/13,N
PS0403,"52,020.45",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1971,1/1/13,N
PS0403,"49,075.90",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,1/1/13,N
PS0403,"52,020.45",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,1/1/13,N
PS0403,"49,075.90",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1983,1/1/13,N
PS0403,"49,075.90",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1984,1/1/13,N
PS0403,"52,020.45",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,1/1/13,N
PS0403,"52,020.45",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,03,Hispanic,1983,1/1/13,N
PS0403,"52,020.45",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,1/1/13,N
PS0403,"52,020.45",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,1/1/13,N
PS0403,"52,020.45",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,1/1/13,N
PS0403,"49,075.90",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,04,Asian or Pacific Islander,1986,1/1/13,N
PS0403,"50,548.18",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1965,1/1/13,N
PS0403,"52,020.45",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1988,1/1/13,N
PS0403,"52,020.45",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,04,Asian or Pacific Islander,1988,1/1/13,N
PS0403,"52,020.45",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,F,02,Black,1974,1/1/13,N
PS0403,"50,548.18",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1965,1/1/13,N
PS0403,"49,075.90",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,1/1/13,N
PS0403,"52,020.45",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1988,1/1/13,N
PS0403,"52,020.45",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,02,Black,1988,1/1/13,N
PS0403,"52,020.45",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1990,1/1/13,N
PS0403,"49,075.90",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1988,1/1/13,N
PS0403,"49,075.90",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1976,1/1/13,N
PS0402,"50,395.26",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,1/1/13,N
PS0403,"52,020.45",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1988,1/1/13,N
PS0403,"52,020.45",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,F,01,White (Not of Hispanic Origin),1987,1/1/13,N
PS0403,"52,020.45",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,1/1/13,N
SR0902,"42,178.09",10647,PT Case Officers,Sheriff,Full Time,006,Administrative Support,M,01,White (Not of Hispanic Origin),1989,10/1/13,N
PS0403,"50,548.18",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,02,Black,1986,1/1/13,N
PS0403,"49,075.90",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1968,1/1/13,N
PS0403,"52,020.45",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1989,1/1/13,N
PS0403,"52,020.45",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1989,1/1/13,N
PS0403,"52,020.45",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,02,Black,1970,1/1/13,N
PS0403,"49,075.90",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,02,Black,1990,1/1/13,N
PS0403,"50,548.18",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,1/1/13,N
PS0403,"52,020.45",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1986,1/1/13,N
PS0403,"52,020.45",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1989,1/1/13,N
PS0403,"52,020.45",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,F,01,White (Not of Hispanic Origin),1989,1/1/13,N
PS0403,"49,075.90",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1968,1/1/13,N
PS0403,"50,548.18",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1991,1/1/13,N
PS0403,"52,020.45",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,03,Hispanic,1986,1/1/13,N
PS0403,"52,020.45",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,02,Black,1983,1/1/13,N
PS0403,"52,020.45",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,1/1/13,N
PS0403,"52,020.45",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1988,1/1/13,N
PS0403,"50,548.18",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1982,1/1/13,N
PS0403,"49,075.90",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,1/1/13,N
PS0403,"52,020.45",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,02,Black,1988,1/1/13,N
PS0403,"52,020.45",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,F,01,White (Not of Hispanic Origin),1987,1/1/13,N
SR0602,"30,745.11",10122,Office Support Rep 3,Public Library,Full Time,006,Administrative Support,M,02,Black,1954,12/24/12,N
SR0504,"29,253.43",04725,Property Guard 2,Public Library,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1949,12/24/12,N
SR0901,"40,817.54",07798,Security Officer Coord,Public Library,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1952,12/24/12,N
SR1500,"99,626.54",07744,Info Systems Asst Dir,Information Technology Service,Full Time,001,Officials and Administrators,F,01,White (Not of Hispanic Origin),1961,12/26/12,Y
SR0604,"32,729.65",10122,Office Support Rep 3,Water Services,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1956,12/22/12,N
SR1200,"57,308.00",07245,Admin Svcs Officer 4,Codes Administration,Full Time,001,Officials and Administrators,M,01,White (Not of Hispanic Origin),1975,12/23/13,Y
SR0600,"31,987.22",10122,Office Support Rep 3,Health,Full Time,006,Administrative Support,F,03,Hispanic,1980,12/31/12,N
TG0802,"35,797.73",07303,Equip Operator 3,Public Works,Full Time,008,Service Maintenance,M,02,Black,1989,2/4/13,N
NS,"30,503.06",06788,Deputy Clerk 2,County Clerk,Full Time,006,Administrative Support,F,02,Black,1952,12/31/12,N
SR0802,"38,082.24",07375,Probation Officer 1,General Sessions Court,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1985,4/1/13,N
PS0503,"54,207.74",07344,Paramedic 2,Fire,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1973,1/1/13,N
PS0503,"54,207.74",07344,Paramedic 2,Fire,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1985,1/1/13,N
PS0503,"54,207.74",07344,Paramedic 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1984,1/1/13,N
PS0503,"54,207.54",07344,Paramedic 2,Fire,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1986,1/1/13,N
PS0403,"49,075.90",01818,Emerg Medical Tech 2,Fire,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1981,1/1/13,N
PS0403,"50,548.18",01818,Emerg Medical Tech 2,Fire,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1990,1/1/13,N
PS0503,"54,207.74",07344,Paramedic 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1981,1/1/13,N
PS0502,"52,513.89",07344,Paramedic 2,Fire,Full Time,003,Technicians,F,01,White (Not of Hispanic Origin),1984,1/1/13,N
PS0403,"49,075.90",07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1979,1/1/13,N
PS0403,"49,075.90",07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1984,1/1/13,N
PS0403,"49,075.90",07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1982,1/1/13,N
PS0402,"48,968.98",07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1974,1/1/13,N
PS0403,"49,075.90",07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1974,1/1/13,N
PS0403,"49,075.90",07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1973,1/1/13,N
PS0403,"49,075.90",07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,02,Black,1968,1/1/13,N
PS0403,"49,075.90",07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1984,1/1/13,N
PS0403,"49,075.90",07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1981,1/1/13,N
PS0403,"52,020.46",07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,F,01,White (Not of Hispanic Origin),1976,1/1/13,N
PS0403,"49,075.90",07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,1/1/13,N
PS0402,"47,542.70",07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1977,10/1/13,N
PS0403,"49,075.90",07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1979,1/1/13,N
PS0403,"49,075.90",07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,1/1/13,N
PS0403,"50,548.18",10125,Paramedic 1,Fire,Full Time,003,Technicians,F,01,White (Not of Hispanic Origin),1989,1/1/13,N
PS0503,"54,207.74",07344,Paramedic 2,Fire,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1971,1/1/13,N
PS0503,"54,207.74",07344,Paramedic 2,Fire,Full Time,003,Technicians,F,01,White (Not of Hispanic Origin),1977,1/1/13,N
PS0403,"49,075.90",07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1969,1/1/13,N
PS0403,"49,075.90",07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1975,1/1/13,N
TG1003,"40,944.81",00960,Carpenter 1,Public Works,Full Time,008,Service Maintenance,M,03,Hispanic,1971,1/7/13,N
MAC01A,"24,776.74",10250,Teacher Asst,Metro Action Commission,Full Time,006,Administrative Support,F,02,Black,1979,1/7/13,N
SR1000,"48,000.00",10151,Finance Officer 2,Finance,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1981,11/9/15,N
SR0801,"36,853.92",10124,Office Support Spec 2,Water Services,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1983,1/5/13,N
SR1001,"45,086.06",10465,Water Quality Analyst 2,Water Services,Full Time,002,Professionals,M,02,Black,1960,1/5/13,N
SR1500,"97,297.49",07762,Special Projects Mgr,Social Services,Full Time,001,Officials and Administrators,M,01,White (Not of Hispanic Origin),1978,1/7/13,Y
NS,"1,040.00",09020,Seasonal/Part-time/Temporary,State Fair Board,Seasonal,008,Service Maintenance,F,01,White (Not of Hispanic Origin),1954,1/15/16,N
SR1104,"54,612.08",07756,Technical Specialist 1,Police,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1982,1/16/13,N
SR0704,"36,483.46",06880,Recreation Leader,Parks,Full Time,005,Para-Professional,F,01,White (Not of Hispanic Origin),1989,1/8/13,N
SR0805,"41,767.19",04949,Social Worker 1,District Attorney,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1976,1/14/13,N
SR1200,"61,173.51",07415,Treatment Plant Asst Mgr,Water Services,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1971,1/12/13,Y
CA0100,"24,752.00",10674,Set Up Staff-Convention Ctr,Convention Center Authority,Full Time,008,Service Maintenance,M,02,Black,1980,1/8/13,N
MAC01A,"24,281.20",10250,Teacher Asst,Metro Action Commission,Full Time,006,Administrative Support,M,01,White (Not of Hispanic Origin),1989,9/28/15,N
TG0902,"37,652.52",07402,Signal Tech 1,Public Works,Full Time,008,Service Maintenance,M,02,Black,1961,1/22/13,N
CA0100,"24,606.40",10672,Housekeeping-Convention Ctr,Convention Center Authority,Full Time,008,Service Maintenance,F,02,Black,1990,1/23/13,N
NS,"48,000.16",07244,Admin Svcs Officer 3,State Trial Courts,Part Time,002,Professionals,M,01,White (Not of Hispanic Origin),1972,1/7/13,Y
HD0300,"36,421.80",10758,Public Health Nurse 1,Health,Part Time,002,Professionals,F,01,White (Not of Hispanic Origin),1967,1/28/13,N
SR0700,"35,656.18",06481,Home Economist,Health,Full Time,002,Professionals,F,02,Black,1986,1/28/13,N
SR1000,"34,414.31",01463,Dental Hygienist 1,Health,Part Time,002,Professionals,F,01,White (Not of Hispanic Origin),1967,1/31/13,Y
SR0504,"14,037.50",06085,Concessions Clerk 2,Parks,Part Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1980,1/25/13,N
SR0800,"44,732.52",06631,Food Inspector 1,Health,Full Time,001,Officials and Administrators,F,03,Hispanic,1965,2/1/13,N
SR0800,"37,590.99",01843,Environmentalist 1,Health,Full Time,001,Officials and Administrators,M,01,White (Not of Hispanic Origin),1982,2/1/13,N
SR1004,"49,593.90",07244,Admin Svcs Officer 3,Arts Commission,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1988,1/29/13,Y
NS,"36,036.00",10816,Satellite position,Circuit Court Satellite,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1965,2/1/13,N
SR1200,"57,800.00",04400,Appraiser 4,Assessor of Property,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1968,1/22/13,Y
SR0902,"42,178.09",10119,Office Support Mgr,Assessor of Property,Full Time,006,Administrative Support,F,02,Black,1977,1/22/13,N
TG0503,"31,624.41",06826,Equip Operator 1,Public Works,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1993,2/4/13,N
ET0302,"42,178.09",10409,Emer Telecommunications Off 3,Emergency Communication Center,Full Time,006,Administrative Support,M,01,White (Not of Hispanic Origin),1989,2/4/13,N
ET0302,"42,178.09",10409,Emer Telecommunications Off 3,Emergency Communication Center,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1979,2/4/13,N
ET0302,"42,178.09",10409,Emer Telecommunications Off 3,Emergency Communication Center,Full Time,006,Administrative Support,M,01,White (Not of Hispanic Origin),1990,2/4/13,N
SR1400,"76,249.60",06232,Finance Mgr,Social Services,Full Time,002,Professionals,F,04,Asian or Pacific Islander,1953,2/12/13,Y
SR1100,"50,641.51",07376,Program Mgr 1,Human Relations Commission,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1983,2/11/13,Y
CA0500,"50,200.80",10659,Technology Supv-Conv Ctr Auth,Convention Center Authority,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1983,2/4/13,Y
SR0703,"35,377.54",07365,Police Operations Coord 1,Police,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1988,2/16/13,N
SR0510,"34,571.05",10755,Call Center Operator-DCSO,Sheriff,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1978,3/1/13,N
CO0103,"35,377.54",06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1982,3/1/13,N
CO0301,"40,817.54",06690,Correctional Officer Sergeant,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1986,3/1/13,N
PS0401,"46,009.48",01818,Emerg Medical Tech 2,Fire,Full Time,003,Technicians,F,02,Black,1978,4/16/15,N
PS0401,"47,389.76",01818,Emerg Medical Tech 2,Fire,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1990,4/16/15,N
CO0203,"39,310.55",06981,Correctional Officer 2,Sheriff,Full Time,004,Protective Service Workers,M,02,Black,1987,3/1/13,N
CO0203,"39,310.55",06981,Correctional Officer 2,Sheriff,Full Time,004,Protective Service Workers,M,02,Black,1981,3/1/13,N
CO0104,"36,483.46",06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,F,02,Black,1984,3/1/13,N
SR0902,"42,178.09",10638,Sheriff Education Coord,Sheriff,Full Time,006,Administrative Support,M,01,White (Not of Hispanic Origin),1978,3/1/13,N
CO0203,"39,310.55",06981,Correctional Officer 2,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,3/1/13,N
